text,type,image,index
"China is the world's leading producer of rare earths and other metals, such as gallium and magnesium.\n\nThis represents a major geopolitical challenge.",Tensions,"empty",17
"Tin, tantalum, gold and tungsten are known as <b>conflict minerals</b>, or <b>blood minerals</b>, because their exploitation can serve to fund armed conflicts, as in the Democratic Republic of Congo, for example.",Conflicts,"empty",18
"<b>Guatemala, since 2014</b>. Local people are fighting against the reopening of a nickel mine, which they accuse of causing pollution and resulting in a land-grab in the region in which they live.",Conflict,"empty",19
"<b>Papua New Guinea, 1989</b>. The environmental and social conflict surrounding a copper and gold mine ended up turning into a civil war that would claim around 20,000 lives over the course of 10 years.",Conflict,"empty",20
"In Chile, Peru and\nArgentina, the <b>demands on water</b> to produce copper and lithium are in conflict with the needs of the local populations.",Conflicts,"empty",21
"There are still active mines in France: gold is mined in French Guiana, nickel in New Caledonia (6% of world production in 2023) and bauxite near Montpellier.",In France,"empty",22
"A lithium mine is scheduled to open in the Massif Central by 2027. It will be one of the largest in Europe."In France,"empty",23
"Hundreds of former mines were not cleaned up when they closed.\n\nSome of these are still a major source of pollution today.",In France,"empty",24
"The <b>Democratic Republic of Congo</b> is the world's leading producer \nof <b>cobalt</b> (74% of production in 2023).\n\nCobalt is used in smartphone motherboards and batteries.",Geography,"empty",25
"<b>Indonesia</b> is the world's leading producer of <b>nickel</b \n(50% of production in 2023).\n\nNickel is used in smartphone motherboards and casings.",Geography,"empty",26
"Recycling electronic boards requires cutting-edge technologies and very expensive infrastructures.",Recycling,"empty",27
"Over 50% of base metals (copper, lead, iron, aluminum, etc.) and precious metals (gold, silver, platinum, etc.) are recycled.",Recycling,"empty",28
"Many metals, including rare earths, are virtually never recycled.",Recycling,"empty",29
"The <b>grade</b> of an ore refers to the proportion or concentration of metal contained in the ore.\n\nFor example, the average grade of copper ore is about 0.6% (6 g of copper for 1 kg of ore).",Definition,"empty",30
"In order to satisfy the global demand for metals, ores with lower and lower grades are being extracted.\n\nConsequently, much more material needs to be extracted to produce the same quantity of metal.",For information,"empty",31
"<b>Rare earths</b> (not to be confused with rare metals!) are metals that are fairly abundant in the Earth's crust but with a very low grade.",For information,"empty",32
"Although there are many <b>underground</b> mines, the majority of mines today are operated as <b>open pits</b>.",For information,"empty",33
" ,In pictures,"MineCuivreRoumanie",34
" ,In pictures,"MineColtanRDC",35
" ,In pictures,"mine_lithium",36
"Gold mines often contain naturally-occurring mercury and arsenic, which are dangerous to health and the environment.",Risks,"empty",37
"The mining industry is the leading cause of <b>environmental conflicts</b> in the world.\n\nIn 2019, 50 environmental defenders were assassinated during conflicts involving the mining industry.",Conflicts,"empty",38
"<b>Brazil, 2019</b>. Breach of a tailings dam at an iron ore mine, which resulted in 243 deaths, 27 missing people and hundreds of injuries.\n\nThe operator had to pay almost �6 billion in damages.",Disaster,"empty",39
"<b>Hungary, 2010</b>. Dam breach near an aluminum factory. Red mud flooded several villages, killing 10 people and injuring 286.\n\nIt was Hungary's worst ever industrial disaster.",Disaster,"empty",40
"There are very few factories capable of recycling the wide variety of metals contained in an electronic board, and none in France.",Recycling,"empty",41
"The main technical difficulties involved in recycling the metals contained in smartphones are:\n\n1) identifying the metals concerned\n\n2) separating them from the other metals.",Recycling, "empty",42
"<b>Belgium, 2020</b>. Due to the dust emitted by a metal recycling plant, the children in this neighborhood have blood lead levels that are considered dangerous.",Recycling,"empty",43
"A former gold mine near Carcassonne has caused major arsenic pollution problems.n\nAmong other things, the sale of vegetables produced in the region has been banned.",In France,"empty",44
"Several mining exploration projects (for gold, lithium, tin and other metals) are currently in progress or awaiting authorization in France.",In France,"empty",45
"<b>Russia</b> is the world's leading producer of <b>palladium</b> (44% of production in 2023).\n\nPalladium is used in smartphone motherboards.",Geography,"empty",46
"<b>Australia</b> is the world's leading producer of <b>lithium</b (48% of production in 2023).\n\nLithium is used in smartphone motherboards and batteries.",Geography,"empty",47
"Several metals are often exploited in the same mine.\n\nFor example, several mines produce both copper and zinc.",For information,"empty",48
"Zinc mines often contain naturally-occurring mercury, arsenic and lead, which are dangerous to health and the environment.",Risks,"empty",49
"A large proportion of the world's mines are located in countries with <b>water stress</b>, where the demand for fresh water exceeds the resources available.",Tensions,"empty",50
"<b>China</b> is the world's leading producer of <b>rare earths</b (69% of world production in 2023 compared to 98% in 2010).\n\nRare earths are used in smartphone motherboards and screens.",Geography,"empty",51
"The <b>Democratic Republic of Congo</b> is the world's leading producer of <b>tantalum</b> (41% of production in 2023).\n\nTantalum is used in smartphone motherboards.",Geography,"empty",52
"<b>China</b> is the world's leading producer of <b>gallium</b> (98% of production in 2023).\n\nGallium is used in smartphone motherboards.",Geography,"empty",53
"<b>South Africa</b> is the world's leading producer of <b>platinum</b> (67% of production in 2023).\n\nPlatinum is used in smartphone motherboards.",Geography,"empty",54
"A <b>slag heap</b> is an artificial hill formed by the accumulation of waste rock and tailings from a mine.",Definition,"empty",55
"The term <b>world reserves</b> of a metal (e.g. copper) refers to the currently exploitable quantity of a given metal in the Earth's crust.\n\nThese reserves are very unevenly distributed around the world.",Definition,"empty",56
"In France, the <b>Mining Code</b> defines the distinction between mines and quarries. The term mine is used when the material extracted is considered strategic, otherwise the term "quarry" is used.",For information,"empty",57
"Many metals used in the digital sector are <b>by</b>-<b>products</b>, i.e. they are recovered during the processing of other metals.\n\nFor example, gallium is a by-product of aluminum.",For information,"empty",58
"The average grade of ore varies greatly between the different types of metals: it is around 45% for iron (45 g of iron for 100 g of ore) but only 0.00008% for gold (8 g of gold for 10 tons of ore)!",For information,"empty",59
"Worldwide production quantities vary greatly from one metal to another: a few hundred tons a year for certain precious metals, but 100,000 times more for certain base metals!", For information,"empty",60












